Date|Symbol|Short Volume|Total Volume|Market
20151214|NRG|1274542|1831552|N
20151214|NRK|11521|32841|N
20151214|NRP|93883|119472|N
20151214|NRT|5900|15078|N
20151214|NRZ|563498|1223980|N
20151214|NS|69044|136307|N
20151214|NSA|60462|84131|N
20151214|NSAM|281060|912517|N
20151214|NSC|190165|384400|N
20151214|NSH|29563|123693|N
20151214|NSL|29942|65625|N
20151214|NSM|167525|306963|N
20151214|NSP|11787|44618|N
20151214|NSR|72685|155671|N
20151214|NSS|22223|36260|N
20151214|NTC|24251|48011|N
20151214|NTG|67125|102475|N
20151214|NTI|81668|169573|N
20151214|NTL|354|659|N
20151214|NTP|4230|9597|N
20151214|NTT|54610|102227|N
20151214|NTX|1132|3478|N
20151214|NTZ|0|501|N
20151214|NUE|401050|794639|N
20151214|NUM|6130|12117|N
20151214|NUO|335|11801|N
20151214|NUS|38029|69371|N
20151214|NUV|9014|32431|N
20151214|NUW|2089|11261|N
20151214|NVGS|14714|35620|N
20151214|NVO|176515|270546|N
20151214|NVR|2620|4209|N
20151214|NVRO|49917|90931|N
20151214|NVS|328037|612423|N
20151214|NVTA|9441|14243|N
20151214|NWE|26429|69239|N
20151214|NWHM|15175|36245|N
20151214|NWL|2606850|4048284|N
20151214|NWN|22033|39489|N
20151214|NWPRC|6615|20871|N
20151214|NWY|2972|7273|N
20151214|NX|55673|88244|N
20151214|NXC|1105|2147|N
20151214|NXJ|7146|16240|N
20151214|NXN|359|2742|N
20151214|NXP|8220|12918|N
20151214|NXQ|5600|8737|N
20151214|NXR|2700|6171|N
20151214|NXRT|10727|27661|N
20151214|NYCB|803809|1232218|N
20151214|NYCBPRU|315|385|N
20151214|NYLD|125026|202357|N
20151214|NYLDA|18908|51775|N
20151214|NYRT|168090|289733|N
20151214|NYT|75921|135427|N
20151214|O|373288|529377|N
20151214|OA|17155|51359|N
20151214|OAK|19735|57768|N
20151214|OAKS|32783|67717|N
20151214|OAKSPRA|2964|11985|N
20151214|OAS|1526045|2005172|N
20151214|OB|13453|48561|N
20151214|OC|88481|244757|N
20151214|OCIP|3178|13200|N
20151214|OCN|451599|635017|N
20151214|ODC|4730|6198|N
20151214|OEC|18657|62154|N
20151214|OFC|164082|309130|N
20151214|OFCPRL|675|2069|N
20151214|OFG|222148|358495|N
20151214|OFGPRA|0|0|N
20151214|OFGPRB|0|500|N
20151214|OFGPRD|0|100|N
20151214|OGE|149395|281677|N
20151214|OGS|23911|47845|N
20151214|OHI|112014|251284|N
20151214|OI|279523|532075|N
20151214|OIA|5293|20445|N
20151214|OIBR|35317|47051|N
20151214|OIBRC|18715|58220|N
20151214|OII|157936|297272|N
20151214|OIS|544377|663521|N
20151214|OKE|486436|1158035|N
20151214|OKS|293964|693061|N
20151214|OLN|307632|610658|N
20151214|OLP|6584|10036|N
20151214|OMAM|24417|50792|N
20151214|OMC|512472|757008|N
20151214|OME|51006|124527|N
20151214|OMF|23039|64200|N
20151214|OMI|92660|174749|N
20151214|OMN|18303|42736|N
20151214|ONDK|28958|48539|N
20151214|ONE|11607|46167|N
20151214|OOMA|3246|4249|N
20151214|OPK|1179349|1959925|N
20151214|OPRF|3200|5459|N
20151214|OPWR|26101|35812|N
20151214|OPY|11987|27201|N
20151214|ORA|18620|30883|N
20151214|ORAN|20527|49240|N
20151214|ORC|53862|99002|N
20151214|ORCL|2657244|5096063|N
20151214|ORI|150644|355370|N
20151214|ORN|54251|86738|N
20151214|OSK|94460|134658|N
20151214|OUT|70434|205284|N
20151214|OXM|27986|55191|N
20151214|OXY|597623|1597201|N
20151214|OZM|179634|611690|N
20151214|P|703261|1221127|N
20151214|PAA|618462|1279272|N
20151214|PAC|4332|7816|N
20151214|PACD|29105|64805|N
20151214|PAG|125255|159523|N
20151214|PAGP|321252|874719|N
20151214|PAH|530030|2159901|N
20151214|PAI|1543|2804|N
20151214|PAM|62316|95411|N
20151214|PANW|148981|277204|N
20151214|PAR|574|4872|N
20151214|PAY|276144|487391|N
20151214|PAYC|39549|71185|N
20151214|PB|50276|84644|N
20151214|PBA|122312|183933|N
20151214|PBF|449874|899572|N
20151214|PBFX|1837|5397|N
20151214|PBH|80496|115181|N
20151214|PBI|257302|578785|N
20151214|PBIPRB|12107|15106|N
20151214|PBR|3765138|6518432|N
20151214|PBRA|1702214|2372357|N
20151214|PBT|32339|41831|N
20151214|PBY|151624|242707|N
20151214|PBYI|167465|246290|N
20151214|PCF|9173|16981|N
20151214|PCG|386524|712770|N
20151214|PCI|111414|416891|N
20151214|PCK|17520|25482|N
20151214|PCL|170550|494330|N
20151214|PCM|8100|17816|N
20151214|PCN|21466|44220|N
20151214|PCP|125131|262192|N
20151214|PCQ|7660|13124|N
20151214|PDI|27293|86709|N
20151214|PDM|435665|580372|N
20151214|PDS|387859|516436|N
20151214|PDT|22425|41879|N
20151214|PE|441668|744287|N
20151214|PEB|73998|146894|N
20151214|PEBPRA|0|0|N
20151214|PEBPRB|350|1300|N
20151214|PEBPRC|1185|2663|N
20151214|PEG|705241|1306465|N
20151214|PEI|97148|177227|N
20151214|PEIPRA|500|2406|N
20151214|PEIPRB|200|2807|N
20151214|PEN|4452|6370|N
20151214|PEO|2636|19230|N
20151214|PEP|1003735|2373231|N
20151214|PER|10609|87319|N
20151214|PES|188410|271982|N
20151214|PF|41753|99932|N
20151214|PFD|4080|12917|N
20151214|PFE|5133556|11960629|N
20151214|PFG|355742|616897|N
20151214|PFGC|7821|19778|N
20151214|PFH|2017|4630|N
20151214|PFK|400|500|N
20151214|PFL|25489|60607|N
20151214|PFN|48884|104605|N
20151214|PFO|6173|12045|N
20151214|PFS|53197|100118|N
20151214|PFSI|6612|10503|N
20151214|PFX|9426|11875|N
20151214|PG|2224080|3621983|N
20151214|PGEM|6718|38068|N
